original_math,sorted math
72,100
69,100
90,100
47,100
76,100
71,100
88,100
40,99
64,99
38,99
58,98
40,98
65,98
78,97
50,97
69,97
88,97
18,97
46,97
54,96
66,96
65,96
44,95
69,95
74,94
73,94
69,94
67,94
70,94
62,94
69,94
63,93
56,93
40,93
97,93
81,92
74,92
50,92
75,92
57,92
55,92
58,91
53,91
59,91
50,91
65,91
55,91
66,91
57,91
82,91
53,90
77,90
53,90
88,90
71,90
33,90
82,90
52,90
58,89
0,89
79,89
39,89
62,89
69,89
59,88
67,88
45,88
60,88
61,88
39,88
58,88
63,88
41,88
61,88
49,88
44,88
30,88
80,88
61,88
62,87
47,87
49,87
50,87
72,87
42,87
73,87
76,87
71,87
58,87
73,87
65,87
27,87
71,87
43,87
79,87
78,86
65,86
63,86
58,86
65,86
79,86
68,86
85,86
60,85
98,85
58,85
87,85
66,85
52,85
70,85
77,85
62,85
54,85
51,85
99,85
84,85
75,85
78,84
51,84
55,84
79,84
91,84
88,84
63,84
83,84
87,84
72,84
65,84
82,83
51,83
89,83
53,83
87,83
75,83
74,83
58,83
51,82
70,82
59,82
71,82
76,82
59,82
42,82
57,82
88,82
22,82
88,82
73,82
68,82
100,82
62,82
77,82
59,82
54,82
62,81
70,81
66,81
60,81
61,81
66,81
82,81
75,81
49,81
52,81
81,81
96,81
53,81
58,81
68,81
67,81
72,81
94,81
79,81
63,81
43,81
81,81
46,80
71,80
52,80
97,80
62,80
46,80
50,80
65,80
45,80
65,80
80,80
62,80
48,80
77,80
66,80
76,80
62,80
77,79
69,79
61,79
59,79
55,79
45,79
78,79
67,79
65,79
69,79
57,79
59,79
74,79
82,79
81,79
74,79
58,79
80,79
35,79
42,79
60,79
87,79
84,78
83,78
34,78
66,78
61,78
56,78
87,78
55,78
86,78
52,78
45,78
72,78
57,78
68,78
88,77
76,77
46,77
67,77
92,77
83,77
80,77
63,77
64,77
54,77
84,77
73,77
80,77
56,77
59,77
75,77
85,77
89,77
58,77
65,77
68,77
47,77
71,77
60,77
80,76
54,76
62,76
64,76
78,76
70,76
65,76
64,76
79,76
44,76
99,76
76,76
59,76
63,76
69,76
88,76
71,76
69,76
58,76
47,76
65,76
88,75
83,75
85,75
59,75
65,75
73,75
53,75
45,75
73,75
70,75
37,75
81,75
97,75
67,75
88,75
77,75
76,75
86,75
63,75
65,75
78,75
67,74
46,74
71,74
40,74
90,74
81,74
56,74
67,74
80,74
74,74
69,74
99,74
51,74
53,74
49,74
73,74
66,74
67,74
68,74
59,74
71,74
77,74
83,74
63,74
56,74
67,73
75,73
71,73
43,73
41,73
82,73
61,73
28,73
82,73
41,73
71,73
47,73
62,73
90,73
83,73
61,73
76,73
49,73
24,73
35,73
58,73
61,73
69,73
67,73
79,73
72,73
62,73
77,72
75,72
87,72
52,72
66,72
63,72
46,72
59,72
61,72
63,72
42,72
59,72
80,72
58,72
85,72
52,72
27,72
59,72
49,71
69,71
61,71
44,71
73,71
84,71
45,71
74,71
82,71
59,71
46,71
80,71
85,71
71,71
66,71
80,71
87,71
79,71
38,71
38,71
67,71
64,71
57,71
62,71
73,71
73,71
77,70
76,70
57,70
65,70
48,70
50,70
85,70
74,70
60,70
59,70
53,70
49,70
88,70
54,70
63,70
65,70
82,70
52,70
87,69
70,69
84,69
71,69
63,69
51,69
84,69
71,69
74,69
68,69
57,69
82,69
57,69
47,69
59,69
41,69
62,69
86,69
69,69
65,69
68,69
64,69
61,69
61,69
47,69
73,69
50,69
75,69
75,69
70,69
89,69
67,69
78,68
59,68
73,68
79,68
67,68
69,68
86,68
47,68
81,68
64,68
100,68
65,68
65,68
53,68
37,68
79,68
53,68
100,68
72,68
53,68
54,68
71,68
77,68
75,68
84,68
26,68
72,67
77,67
91,67
83,67
63,67
68,67
59,67
90,67
71,67
76,67
80,67
55,67
76,67
73,67
52,67
68,67
59,67
49,67
70,67
61,67
60,67
64,67
79,67
65,67
64,67
83,67
81,66
54,66
68,66
54,66
59,66
66,66
76,66
74,66
94,66
63,66
95,66
40,66
82,66
68,66
55,66
79,66
86,66
76,66
64,66
62,66
54,66
77,66
76,66
74,66
66,65
66,65
67,65
71,65
91,65
69,65
54,65
53,65
68,65
56,65
36,65
29,65
62,65
68,65
47,65
62,65
79,65
73,65
66,65
51,65
51,65
85,65
97,65
75,65
79,65
81,65
82,65
64,65
78,65
92,65
72,65
62,65
79,65
79,65
87,65
40,65
77,64
53,64
32,64
55,64
61,64
53,64
73,64
74,64
63,64
96,64
63,64
48,64
48,64
92,64
61,64
63,64
68,64
71,64
91,64
53,64
50,63
74,63
40,63
61,63
81,63
48,63
53,63
81,63
77,63
63,63
73,63
69,63
65,63
55,63
44,63
54,63
48,63
58,63
71,63
68,63
74,63
92,63
56,63
30,63
53,63
69,63
65,62
54,62
29,62
76,62
60,62
84,62
75,62
85,62
40,62
61,62
58,62
69,62
58,62
94,62
65,62
82,62
60,62
37,62
88,62
95,62
65,62
35,62
62,62
58,62
100,62
61,62
100,62
69,62
61,62
49,62
44,62
67,62
79,62
66,62
75,62
84,61
71,61
67,61
80,61
86,61
76,61
41,61
74,61
72,61
74,61
70,61
65,61
59,61
64,61
50,61
69,61
51,61
68,61
85,61
65,61
73,61
62,61
77,61
69,61
43,61
90,61
74,61
73,60
55,60
65,60
80,60
50,60
63,60
77,60
73,60
81,60
66,60
52,60
69,60
65,60
69,60
50,60
73,60
70,59
81,59
63,59
67,59
60,59
62,59
29,59
62,59
94,59
85,59
77,59
53,59
93,59
49,59
73,59
66,59
77,59
49,59
79,59
75,59
59,59
57,59
66,59
79,59
57,59
87,59
63,59
59,59
62,59
46,59
66,59
89,59
42,58
93,58
80,58
98,58
81,58
60,58
76,58
73,58
96,58
76,58
91,58
62,58
55,58
74,58
50,58
47,58
81,58
65,58
68,58
73,58
53,58
68,58
55,58
87,58
55,58
53,57
67,57
92,57
53,57
81,57
61,57
80,57
37,57
81,57
59,57
55,57
72,57
69,57
69,57
50,57
87,57
71,57
68,57
79,56
77,56
58,56
84,56
55,56
70,56
52,56
69,56
53,56
48,55
78,55
62,55
60,55
74,55
58,55
76,55
68,55
58,55
52,55
75,55
52,55
62,55
66,55
49,55
66,55
35,55
72,55
94,54
46,54
77,54
76,54
52,54
91,54
32,54
72,54
19,54
68,54
52,54
48,54
60,54
66,54
89,54
42,54
57,54
70,54
70,53
69,53
52,53
67,53
76,53
87,53
82,53
73,53
75,53
